name,number,N,class_,class_sf,class_A,class_B,class_C,class_D,class_E,class_K,class_L,class_M,class_O,class_P,class_Q,class_R,class_S,class_V,class_X,class_Z,e,h,k
Ceres,1,3,C,C,0.0,0.247065,0.752714,0.0,0.0,1.9E-5,4.6E-5,1.7E-5,0.0,1.37E-4,0.0,0.0,1.0E-6,0.0,0.0,0.0,,0,
Pallas,2,4,B,B,0.0,0.948406,0.036347,0.0,0.0,0.015053,1.63E-4,2.2E-5,0.0,0.0,6.0E-6,0.0,2.0E-6,0.0,0.0,0.0,,0,
Juno,3,4,S,S,0.0,0.0,0.001785,0.0,7.0E-6,1.18E-4,0.06644,0.006689,0.0,4.0E-6,0.007493,2.4E-5,0.91743,1.1E-5,0.0,0.0,,,
Vesta,4,5,V,V,1.1E-5,4.3E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.93E-4,2.0E-5,0.005581,0.992965,0.0,0.0,,,
Astraea,5,1,S,S,0.0,0.0,6.9E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002768,0.0,0.997162,1.0E-6,0.0,0.0,,,
Hebe,6,3,S,S,0.0,0.0,3.5E-5,0.0,0.0,1.0E-6,1.3E-5,3.0E-6,0.0,0.0,0.001435,1.0E-6,0.998512,0.0,0.0,0.0,,,
Iris,7,2,S,S,0.0,0.0,1.0E-5,0.0,0.0,0.001737,2.48E-4,0.004278,0.0,1.0E-6,2.38E-4,1.0E-6,0.993486,0.0,0.0,0.0,,,
Flora,8,1,S,S,1.75E-4,0.0,0.0,0.0,0.0,1.07E-4,3.0E-6,6.42E-4,0.0,1.0E-6,0.0,0.0,0.999073,0.0,0.0,0.0,,,
Metis,9,2,M,M,3.31E-4,2.0E-6,0.0,0.0,1.0E-6,0.016954,0.0,0.957069,0.0,0.005726,0.0,0.0,0.019917,0.0,0.0,0.0,,,0
Hygiea,10,5,C,C,6.0E-6,0.042875,0.837183,3.56E-4,0.0,0.0,0.0,0.001227,0.0,0.113494,0.0,0.0,0.004858,0.0,0.0,0.0,,0,
Parthenope,11,1,S,S,1.0E-6,0.0,1.3E-5,0.0,0.0,7.03E-4,0.0,6.0E-5,0.0,0.0,4.5E-5,0.0,0.999179,0.0,0.0,0.0,,,
Victoria,12,2,S,S,0.002993,0.0,0.0,0.0,0.0,8.5E-5,1.0E-5,0.143445,0.0,0.003925,0.0,0.0,0.849528,1.0E-6,0.0,1.4E-5,,,
Egeria,13,2,Ch,Ch,0.0,0.00267,0.982485,0.0,0.0,3.25E-4,0.0,3.73E-4,0.0,0.006255,0.0,0.0,0.007891,0.0,0.0,0.0,,1,
Irene,14,3,S,S,0.0,0.0,3.9E-5,0.0,1.0E-6,0.01138,0.001055,0.001321,0.0,0.0,3.1E-5,9.0E-6,0.986164,0.0,0.0,0.0,,,
